Electrode_name,Electrode_id,X (m),Y (m),Z (m),(1) Left_Right Hand MI,(2) Motor Movement_Imagery Dataset,(3) Grasp and Lift EEG Challenge,(4) The largest SCP data of Motor-Imagery,(5) BCI Competition IV-1,(6) BCI Competition IV-2a,(7) BCI Competition IV-2b,(8) High-Gamma Dataset,Usage
Fp1,1,-0.0294367,0.0839171,-0.00699,1,22,1,1,0,0,0,1,5
Fpz,2,0.0001123,0.088247,-0.001713,33,23,0,2,0,0,0,3,4
Fp2,3,0.0298723,0.0848959,-0.00708,34,24,2,0,0,0,0,2,4
AF9,4,-0.0489708,0.0640872,-0.047683,0,0,0,0,0,0,0,0,0
AF7,5,-0.0548397,0.0685722,-0.01059,2,25,0,0,0,0,0,38,3
AF5,6,-0.0454307,0.0728622,0.005978,0,0,0,0,0,0,0,0,0
AF3,7,-0.0337007,0.0768371,0.021227,3,26,0,0,1,0,0,39,4
AF1,8,-0.0184717,0.0799041,0.032752,0,0,0,0,0,0,0,0,0
AFz,9,0.0002313,0.080771,0.035417,37,27,0,0,0,0,0,79,3
AF2,10,0.0198203,0.0803019,0.032764,0,0,0,0,0,0,0,0,0
AF4,11,0.0357123,0.0777259,0.021956,36,28,0,0,2,0,0,40,4
AF6,12,0.0465843,0.0738078,0.006034,0,0,0,0,0,0,0,0,0
AF8,13,0.0557433,0.0696568,-0.010755,35,29,0,0,0,0,0,41,3
AF10,14,0.0504352,0.0638698,-0.048005,0,0,0,0,0,0,0,0,0
F9,15,-0.0701019,0.0416523,-0.049952,0,0,0,0,0,0,0,0,0
F7,16,-0.0702629,0.0424743,-0.01142,7,30,3,13,0,0,0,4,5
F5,17,-0.0644658,0.0480353,0.016921,6,31,0,0,3,0,0,42,4
F3,18,-0.0502438,0.0531112,0.042192,5,32,4,3,4,0,0,5,6
F1,19,-0.0274958,0.0569311,0.060342,4,33,0,0,5,0,0,43,4
Fz,20,0.0003122,0.058512,0.066462,38,34,5,19,6,1,0,6,7
F2,21,0.0295142,0.0576019,0.05954,39,35,0,0,7,0,0,44,4
F4,22,0.0518362,0.0543048,0.040814,40,36,6,4,8,0,0,7,6
F6,23,0.0679142,0.0498297,0.016367,41,37,0,0,9,0,0,45,4
F8,24,0.0730431,0.0444217,-0.012,42,38,7,14,0,0,0,8,5
F10,25,0.0721141,0.0420667,-0.050452,0,0,0,0,0,0,0,0,0
FT9,26,-0.0840759,0.0145673,-0.050429,0,0,0,0,0,0,0,70,1
FT7,27,-0.080775,0.0141203,-0.011135,8,39,0,0,0,0,0,64,3
FC5,28,-0.0772149,0.0186433,0.02446,9,1,8,0,10,0,0,9,5
FC3,29,-0.0601819,0.0227162,0.055544,10,2,0,0,11,2,0,46,5
FC1,30,-0.0340619,0.0260111,0.079987,11,3,9,0,12,3,0,10,6
FCz,31,0.0003761,0.02739,0.088668,47,4,0,0,13,4,0,47,5
FC2,32,0.0347841,0.0264379,0.078808,46,5,10,0,14,5,0,11,6
FC4,33,0.0622931,0.0237228,0.05563,45,6,0,0,15,6,0,48,5
FC6,34,0.0795341,0.0199357,0.024438,44,7,11,0,16,0,0,12,5
FT8,35,0.0818151,0.0154167,-0.01133,43,40,0,0,0,0,0,65,3
FT10,36,0.0841131,0.0143647,-0.050538,0,0,0,0,0,0,0,71,1
T9,37,-0.0858941,-0.0158287,-0.048283,0,43,0,0,0,0,0,0,1
T7,38,-0.0841611,-0.0160187,-0.009346,15,41,12,0,25,0,0,14,5
C5,39,-0.0802801,-0.0137597,0.02916,14,8,0,0,26,7,0,49,5
C3,40,-0.0653581,-0.0116317,0.064358,13,9,13,5,27,8,1,15,8
C1,41,-0.036158,-0.0099839,0.089752,12,10,0,0,28,9,0,50,5
Cz,42,0.0004009,-0.009167,0.100244,48,11,14,20,29,10,2,16,8
C2,43,0.037672,-0.0096241,0.088412,49,12,0,0,30,11,0,51,5
C4,44,0.0671179,-0.0109003,0.06358,50,13,15,6,31,12,3,17,8
C6,45,0.0834559,-0.0127763,0.029208,51,14,0,0,32,13,0,52,5
T8,46,0.0850799,-0.0150203,-0.00949,52,42,16,0,33,0,0,18,5
T10,47,0.0855599,-0.0163613,-0.048271,0,44,0,0,0,0,0,0,1
TP9,48,-0.0856192,-0.0465147,-0.045707,0,0,17,0,0,0,0,0,1
TP7,49,-0.0848302,-0.0460217,-0.007056,16,45,0,0,0,0,0,66,3
CP5,50,-0.0795922,-0.0465507,0.030949,17,15,18,0,42,0,0,20,5
CP3,51,-0.0635562,-0.0470088,0.065624,18,16,0,0,43,14,0,53,5
CP1,52,-0.0355131,-0.0472919,0.091315,19,17,19,0,44,15,0,21,6
CPz,53,0.0003858,-0.047318,0.099432,32,18,0,0,45,16,0,54,5
CP2,54,0.0383838,-0.0470731,0.090695,56,19,20,0,46,17,0,22,6
CP4,55,0.0666118,-0.0466372,0.06558,55,20,0,0,47,18,0,55,5
CP6,56,0.0833218,-0.0461013,0.031206,54,21,21,0,48,0,0,23,5
TP8,57,0.0855488,-0.0455453,-0.00713,53,46,0,0,0,0,0,67,3
TP10,58,0.0861618,-0.0470353,-0.045869,0,0,22,0,0,0,0,0,1
P9,59,-0.0730093,-0.0737657,-0.040998,24,0,0,0,0,0,0,76,2
P7,60,-0.0724343,-0.0734527,-0.002487,23,47,23,0,0,0,0,24,4
P5,61,-0.0672723,-0.0762907,0.028382,22,48,0,0,49,0,0,56,4
P3,62,-0.0530073,-0.0787878,0.05594,21,49,24,7,50,0,0,25,6
P1,63,-0.0286203,-0.0805249,0.075436,20,50,0,0,51,19,0,57,5
Pz,64,0.0003247,-0.081115,0.082615,31,51,25,21,52,20,0,26,7
P2,65,0.0319197,-0.0804871,0.076716,57,52,0,0,53,21,0,58,5
P4,66,0.0556667,-0.0785602,0.056561,58,53,26,8,54,0,0,27,6
P6,67,0.0678877,-0.0759043,0.028091,59,54,0,0,55,0,0,59,4
P8,68,0.0730557,-0.0730683,-0.00254,60,55,27,0,0,0,0,28,4
P10,69,0.0738947,-0.0743903,-0.04122,61,0,0,0,0,0,0,77,2
PO9,70,-0.0549104,-0.0980448,-0.035465,0,0,28,0,0,0,0,74,2
PO7,71,-0.0548404,-0.0975279,0.002792,25,56,0,0,0,0,0,68,3
PO5,72,-0.0484244,-0.0993408,0.021599,0,0,0,0,0,0,0,60,1
PO3,73,-0.0365114,-0.1008529,0.037167,26,57,0,0,0,0,0,61,3
PO1,74,-0.0189724,-0.101768,0.046536,0,0,0,0,56,0,0,0,1
POz,75,0.0002156,-0.102178,0.050608,30,58,0,0,0,22,0,29,4
PO2,76,0.0198776,-0.101793,0.046393,0,0,0,0,57,0,0,0,1
PO4,77,0.0367816,-0.1008491,0.036397,63,59,0,0,0,0,0,62,3
PO6,78,0.0498196,-0.0994461,0.021727,0,0,0,0,0,0,0,63,1
PO8,79,0.0556666,-0.0976251,0.00273,62,60,0,0,0,0,0,69,3
PO10,80,0.0549876,-0.0980911,-0.035541,0,0,32,0,0,0,0,75,2
O1,81,-0.0294134,-0.112449,0.008839,27,61,29,9,58,0,0,30,6
Oz,82,0.0001076,-0.114892,0.014657,29,62,30,0,0,0,0,31,4
O2,83,0.0298426,-0.112156,0.0088,64,63,31,10,59,0,0,32,6
I1,84,-0.0298184,-0.11457,-0.029216,0,0,0,0,0,0,0,99,1
Iz,85,4.50E-06,-0.118565,-0.023078,28,64,0,0,0,0,0,100,3
I2,86,0.0297416,-0.11426,-0.029256,0,0,0,0,0,0,0,101,1
AFp9h,87,-0.0432897,0.0758552,-0.028244,0,0,0,0,0,0,0,0,0
AFp7h,88,-0.0385517,0.0799532,-0.004995,0,0,0,0,0,0,0,0,0
AFp5h,89,-0.0279857,0.0824591,0.002702,0,0,0,0,0,0,0,0,0
AFp3h,90,-0.0171947,0.0848491,0.010027,0,0,0,0,0,0,0,102,1
AFp1h,91,-0.0059317,0.086878,0.0162,0,0,0,0,0,0,0,0,0
AFp2h,92,0.0071053,0.087074,0.016469,0,0,0,0,0,0,0,0,0
AFp4h,93,0.0189233,0.0855969,0.011443,0,0,0,0,0,0,0,103,1
